accompany มาด้วยกัน
acknowledge รับทราบ
alter เปลี่ยนแปลง
ambition ความทะเยอทะยาน
amusing น่าขบขัน
apology ขอโทษ
approximate โดยประมาณ
atmosphere บรรยากาศ
balcony ระเบียง
bribery ติดสินบน
brief รวบรัด
brutal โหดร้าย
bury ฝัง
casual ไม่เป็นทางการ
certain แน่ใจ
challenging การท้าทาย
chaotic วุ่นวาย
charming มีเสน่ห์
collar ปลอกคอ
commodity สินค้าโภคภัณฑ์
component ส่วนประกอบ
compromise ประนีประนอม
conception ความคิด
conquer พิชิต
contradict ขัดแย้ง
convey ถ่ายทอด
cottage กระท่อม
curious อยากรู้
customs ศุลกากร
deception การหลอกลวง
decorate ตกแต่ง
disapproval ไม่อนุมัติ
disgust รังเกียจ
dismiss อนุญาตให้ออกไป
drastically อย่างมาก
dull น่าเบื่อ
elaborate ขยายความ
elementary ประถม
fatal ร้ายแรง
flawless ไร้ที่ติ
frightened ตระหนก
fruitful มีผล
gradual ค่อยเป็นค่อยไป
guilty รู้สึกผิด
hazard เสี่ยง
immensely อย่างมาก
impulsive หุนหันพลันแล่น
in-advance ล่วงหน้า
indeed อย่างแท้จริง
independent เป็นอิสระ
individual รายบุคคล
infrastructure โครงสร้างพื้นฐาน
intolerance แพ้
keen กระตือรือร้น
legal ถูกกฎหมาย
magnificent งดงาม
marvelous อัศจรรย์
meanwhile ในขณะเดียวกัน
migration การโยกย้าย
moderately ปานกลาง
mysteriously อย่างลึกลับ
nasty น่ารังเกียจ
nostalgia ความคิดถึง
nutrition โภชนาการ
operate ดำเนินงาน
oppress กดขี่
outcome ผล
owe เป็นหนี้
pathetic น่าสงสาร
perception การรับรู้
portray วาดภาพ
presume สันนิษฐาน
prompt พรอมต์
propaganda โฆษณาชวนเชื่อ
recipe สูตรอาหาร
registration การลงทะเบียน
rescue กู้ภัย
resemble คล้ายคลึงกับ
resign ลาออก
retire เกษียณ
routine กิจวัตรประจำวัน
sensible สมเหตุสมผล
skeptical สงสัย
spectacular งดงาม
sob ร้องไห้
stain คราบ
substantial รูปธรรม
sufficient เพียงพอ
sustain ยังชีพประคับประคอง
tendency แนวโน้ม
terrified หวาดกลัว
timely ทันเวลา
turmoil ความวุ่นวาย
typical ทั่วไป
underestimate ประเมินค่าต่ำไป
undermine บ่อนทำลาย
vague คลุมเครือ
veteran ทหารผ่านศึก
via ทาง
worship สักการะ
